7f000001:2328	95812:0	6	14871
7f000001:2328	95812:1	27700	6111
7f000001:2328	95812:2	9832	4370
7f000001:2328	95812:3	77592	14361
7f000001:2328	95812:4	15749	5943
7f000001:2328	95812:5	2359	33800
7f000001:2328	95812:6	48084	12030
7f000001:2328	95812:7	5865	5684
7f000001:2328	95812:8	4345	7811
7f000001:2328	95812:9	2275	32940
7f000001:2328	95812:10	15926	37216
7f000001:2328	95812:11	27826	1631
7f000001:2328	95812:12	16132	2808
7f000001:2328	95812:13	41339	12494
7f000001:2328	95812:14	13304	11956
7f000001:2328	95812:15	5539	247
7f000001:2328	95812:16	485	100748
7f000001:2328	95812:17	51464	30820
7f000001:2328	95812:18	17622	29327
7f000001:2328	95812:19	20354	8438
7f000001:2328	95812:20	9812	6215
7f000001:2328	95812:21	9030	20485
7f000001:2328	95812:22	9421	1085
7f000001:2328	95812:23	15670	3432
7f000001:2328	95812:24	12600	7988
7f000001:2328	95812:25	4461	1338
7f000001:2328	95812:26	89729	15797
7f000001:2328	95812:27	1944	100120
7f000001:2328	95812:28	11847	24183
7f000001:2328	95812:29	4306	15692
7f000001:2328	95812:30	112254	4213
7f000001:2328	95812:31	24017	10195
7f000001:2328	95812:32	12041	27488
7f000001:2328	95812:33	4085	33297
7f000001:2328	95812:34	34175	2050
7f000001:2328	95812:35	628	2876
7f000001:2328	95812:36	21136	9571
7f000001:2328	95812:37	5976	14133
7f000001:2328	95812:38	15341	2185
7f000001:2328	95812:39	85633	8572
7f000001:2328	95812:40	30467	6167
7f000001:2328	95812:41	22873	49330
7f000001:2328	95812:42	13084	11625
7f000001:2328	95812:43	52995	12596
7f000001:2328	95812:44	78798	7714
7f000001:2328	95812:45	32932	40126
7f000001:2328	95812:46	28276	16306
7f000001:2328	95812:47	36523	15152
7f000001:2328	95812:48	7651	8415
7f000001:2328	95812:49	7770	11832
7f000001:2328	95812:50	17426	21141
7f000001:2328	95812:51	1353	13457
7f000001:2328	95812:52	12692	190
7f000001:2328	95812:53	25155	9828
7f000001:2328	95812:54	12337	55029
7f000001:2328	95812:55	2785	11182
7f000001:2328	95812:56	7209	10585
7f000001:2328	95812:57	5818	9103
7f000001:2328	95812:58	25806	54841
7f000001:2328	95812:59	374	12999
7f000001:2328	95812:60	35910	15215
7f000001:2328	95812:61	2805	10227
7f000001:2328	95812:62	2872	33471
7f000001:2328	95812:63	10355	1586
7f000001:2328	95812:64	18966	8209
7f000001:2328	95812:65	6093	9770
7f000001:2328	95812:66	7853	19170
7f000001:2328	95812:67	4758	6694
7f000001:2328	95812:68	94190	4372
7f000001:2328	95812:69	22588	14438
7f000001:2328	95812:70	31980	2720
7f000001:2328	95812:71	9237	5029
7f000001:2328	95812:72	7395	3683
7f000001:2328	95812:73	65279	25873
7f000001:2328	95812:74	18539	14580
7f000001:2328	95812:75	13998	9113
7f000001:2328	95812:76	7232	9879
7f000001:2328	95812:77	10938	11217
7f000001:2328	95812:78	8093	8697
7f000001:2328	95812:79	2395	26117
7f000001:2328	95812:80	10969	203
7f000001:2328	95812:81	9012	15379
7f000001:2328	95812:82	4435	40848
7f000001:2328	95812:83	50845	66981
7f000001:2328	95812:84	32959	5309
7f000001:2328	95812:85	14857	4393
7f000001:2328	95812:86	42712	33462
7f000001:2328	95812:87	87040	8439
7f000001:2328	95812:88	20624	22453
7f000001:2328	95812:89	46450	2622
7f000001:2328	95812:90	23739	113721
7f000001:2328	95812:91	77419	2792
7f000001:2328	95812:92	9597	825
7f000001:2328	95812:93	16308	3840
7f000001:2328	95812:94	14661	3394
7f000001:2328	95812:95	32815	5757
7f000001:2328	95812:96	5083	8237
7f000001:2328	95812:97	28503	10698
7f000001:2328	95812:98	65764	17114
7f000001:2328	95812:99	12526	20283
7f000001:2328	95812:100	57661	13572
7f000001:2328	95812:101	12841	1785
7f000001:2328	95812:102	29160	3280
7f000001:2328	95812:103	17674	18641
7f000001:2328	95812:104	8790	9859
7f000001:2328	95812:105	5232	33830
7f000001:2328	95812:106	13688	20962
7f000001:2328	95812:107	14822	1173
7f000001:2328	95812:108	20727	22447
7f000001:2328	95812:109	3436	32377
7f000001:2328	95812:110	4998	1014
7f000001:2328	95812:111	12820	26799
7f000001:2328	95812:112	69103	15340
7f000001:2328	95812:113	905	20772
7f000001:2328	95812:114	10002	13807
7f000001:2328	95812:115	9529	9586
7f000001:2328	95812:116	38951	37440
7f000001:2328	95812:117	51256	16114
7f000001:2328	95812:118	1120	26408
7f000001:2328	95812:119	6294	19126
7f000001:2328	95812:120	488	12640
7f000001:2328	95812:121	21073	42288
7f000001:2328	95812:122	8550	43048
7f000001:2328	95812:123	68627	12007
7f000001:2328	95812:124	13643	43557
7f000001:2328	95812:125	527	752
7f000001:2328	95812:126	13654	15884
7f000001:2328	95812:127	10832	15722
7f000001:2328	95812:128	22768	17522
7f000001:2328	95812:129	20212	2776
